ax,ay,az,gx,gy,gz,target,target_name
0.09,0.97,0.01,-3.66,1.04,-0.49,0.0,left-right
0.08,0.98,0.01,-5.8,1.71,-0.24,0.0,left-right
0.08,0.98,0.01,-5.98,1.77,-0.18,0.0,left-right
0.08,0.98,0.01,-4.76,1.34,-0.12,0.0,left-right
0.08,0.98,0.01,-2.93,1.1,-0.18,0.0,left-right
0.08,0.98,0.02,-1.28,0.73,-0.37,0.0,left-right
0.07,0.98,0.02,-0.37,0.61,-0.67,0.0,left-right
0.08,0.98,0.02,0.12,0.49,-0.79,0.0,left-right
0.09,0.98,0.01,0.49,0.43,-0.98,0.0,left-right
0.09,0.98,0.01,1.1,0.31,-1.1,0.0,left-right
0.08,0.98,0.02,1.16,0.31,-0.92,0.0,left-right
0.08,0.98,0.02,0.61,0.49,-0.73,0.0,left-right
0.08,0.98,0.01,0.18,0.61,-0.92,0.0,left-right
0.08,0.98,0.02,0.92,0.49,-0.79,0.0,left-right
0.08,0.98,0.02,1.46,0.37,-0.67,0.0,left-right
0.08,0.98,0.02,1.28,0.37,-0.61,0.0,left-right
0.08,0.98,0.02,0.0,0.37,-0.55,0.0,left-right
0.08,0.98,0.02,-1.71,0.73,-0.55,0.0,left-right
0.08,0.98,0.02,-2.87,0.98,-0.49,0.0,left-right
0.08,0.98,0.02,-3.11,1.04,-0.37,0.0,left-right
0.08,0.98,0.02,-2.99,1.22,-0.43,0.0,left-right
0.08,0.98,0.02,-3.05,1.16,-0.43,0.0,left-right
0.08,0.97,0.02,-3.17,0.92,-0.37,0.0,left-right
0.08,0.98,0.01,-3.3,1.16,-0.31,0.0,left-right
0.08,0.98,0.01,-3.97,1.34,-0.24,0.0,left-right
0.09,0.97,0.01,-5.13,1.53,-0.24,0.0,left-right
0.08,0.98,0.02,-4.88,1.4,-0.06,0.0,left-right
0.08,0.98,0.01,-5.31,1.53,-0.24,0.0,left-right
0.08,0.98,0.01,-4.21,1.22,-0.37,0.0,left-right
0.07,0.98,0.01,-1.77,0.92,-0.37,0.0,left-right
0.07,0.98,0.01,0.79,0.61,-0.73,0.0,left-right
0.08,0.98,0.01,2.26,0.31,-1.1,0.0,left-right
0.08,0.98,0.02,3.11,0.06,-1.1,0.0,left-right
0.09,0.98,0.01,2.69,0.18,-1.22,0.0,left-right
0.08,0.98,0.02,1.77,0.37,-1.22,0.0,left-right
0.08,0.98,0.02,0.55,0.61,-0.85,0.0,left-right
0.08,0.98,0.02,-0.37,0.79,-0.79,0.0,left-right
0.08,0.98,0.02,-1.46,0.85,-0.61,0.0,left-right
